NUTS2,CO2 seq rate tCO2/(ha y),density tCO2/ha,rotation_age_years,Source
UKK4,4.5917360497437,175.82742858796297,39.01185719760027,avg neighbours (100km)
UKL2,4.6181547093041235,177.00446259920636,38.943669443222724,avg neighbours (100km)
PL33,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL34,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
RO11,3.1090420504385965,295.35899479166665,95.0,direct
RO12,3.5072626612487103,329.71571874999995,94.00941719962583,direct
PL41,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
RO21,3.6483767543859646,346.5957916666666,95.0,direct
NO06,2.4672047575729006,198.78694878472226,83.2,avg neighbours (100km)
NO07,2.116192933831385,168.78247938368057,82.05,avg neighbours (100km)
SE12,3.1813995098039216,270.4189583333333,84.99999999999999,direct
PL42,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL43,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
RO22,3.7095759019177845,323.124828125,87.1055982323883,direct
PL51,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL52,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
RO31,3.398641173245614,322.87091145833335,95.00000000000001,direct
RO32,3.257777046783626,309.4888194444444,94.99999999999999,direct
PL11,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL61,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL62,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
RO41,3.5462070175438596,336.88966666666664,95.0,direct
RO42,3.836455043859649,364.4632291666667,95.0,direct
PL12,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL63,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PT11,2.1553728070175437,204.76041666666666,95.0,direct
PT15,2.1553728070175437,204.76041666666666,95.0,direct
PL21,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PL22,4.1426794624546845,309.6288020833333,74.74119223790181,PL→country (Pilli)
PT16,2.1553728070175437,204.76041666666666,95.0,direct
PT17,2.1553728070175437,204.76041666666666,95.0,direct
SE11,3.1208658088235297,265.27359375000003,85.0,direct
UKM2,2.486676679920319,190.00015031122413,81.20235661570439,avg neighbours (100km)
UKM3,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
UKM5,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
UKM6,2.2121227826510723,191.66086805555554,86.64115281425002,avg neighbours (100km)
RS00,4.109445588275335,249.19180083550344,67.4323872942895,"avg neighbours (HR, HU, RO, BG)"
AL00,4.881543484115113,225.41184169798288,53.61339824874786,"avg neighbours (EL, MK)"
BA00,2.6771474200206398,246.63466666666667,92.1259191116062,"avg neighbours (HR, ME)"
XK00,4.469684771548515,238.1716643066406,61.34043479420575,"avg neighbours (MK, RS00)"
