country,region,nuts2,forest_type,con_broad,mgmt_type,rotation_age,mai_vol_m3_ha_yr,bcef,mai_co2_tCO2_ha_yr,density_tCO2_ha
IT,Ba,ITF5,OC,con,H,65,10.069230769230769,0.6,13.845192307692304,899.9374999999998
IT,Cal,ITF6,OC,con,H,65,7.096923076923077,0.58,9.432993589743589,613.1445833333332
IT,Cam,ITF3,OC,con,H,65,5.386153846153847,0.56,6.912230769230769,449.29499999999996
IT,ER,ITH5,OC,con,H,65,2.8123076923076926,0.52,3.3513333333333333,217.83666666666667
IT,FVG,ITH4,OC,con,H,65,4.898461538461538,0.55,6.174102564102563,401.3166666666666
IT,La,ITI4,OC,con,H,65,5.826153846153846,0.57,7.610413461538461,494.676875
IT,Li,ITC3,OC,con,H,65,6.521538461538461,0.57,8.518759615384614,553.7193749999999
IT,Ma,ITI3,OC,con,H,65,1.78,0.5,2.0395833333333333,132.57291666666666
IT,Pi,ITC1,OC,con,H,65,2.4646153846153847,0.51,2.880519230769231,187.23375000000001
IT,Sa,ITG2,OC,con,H,65,2.9476923076923076,0.52,3.512666666666666,228.3233333333333
IT,Si,ITG1,OC,con,H,65,3.2015384615384614,0.53,3.8885352564102558,252.75479166666662
IT,To,ITI1,OC,con,H,65,6.323076923076923,0.57,8.25951923076923,536.86875
IT,Um,ITI2,OC,con,H,65,3.6353846153846154,0.54,4.498788461538462,292.42125000000004
IT,Cal,ITF6,OE,broad,H,45,2.882222222222222,0.69,4.557513888888888,205.08812499999996
IT,Sa,ITG2,OE,broad,H,45,1.7088888888888891,0.69,2.7021805555555556,121.598125
IT,Si,ITG1,OE,broad,H,35,2.394285714285714,0.69,3.785964285714285,132.50874999999996
IT,Ab,ITF1,Oca,broad,H,95,7.927368421052631,0.68,12.35348245614035,1173.5808333333332
IT,Cam,ITF3,Oca,broad,H,95,26.677894736842106,0.71,43.40715789473684,4123.68
IT,ER,ITH5,Oca,broad,H,95,2.746315789473684,0.67,4.216739035087719,400.5902083333333
IT,FVG,ITH4,Oca,broad,H,95,10.769473684210526,0.69,17.029230263157892,1617.7768749999998
IT,Pi,ITC1,Oca,broad,H,95,3.957894736842105,0.67,6.0770175438596485,577.3166666666666
IT,To,ITI1,Oca,broad,H,95,5.891578947368422,0.68,9.181043859649126,872.199166666667
IT,Ve,ITH3,Oca,broad,H,95,14.566315789473684,0.7,23.366798245614035,2219.8458333333333
IT,AA,ITH1,PA,con,H,75,4.026666666666666,0.42,3.875666666666666,290.67499999999995
IT,Ab,ITF1,PA,con,H,75,3.2333333333333334,0.41,3.0379861111111106,227.8489583333333
IT,ER,ITH5,PA,con,H,75,5.3,0.43,5.222708333333332,391.70312499999994
IT,FVG,ITH4,PA,con,H,75,5.364,0.43,5.285774999999999,396.43312499999996
IT,La,ITI4,PA,con,H,75,5.453333333333333,0.43,5.373805555555555,403.03541666666666
IT,Lo,ITC4,PA,con,H,75,6.502666666666666,0.44,6.556855555555555,491.7641666666666
IT,Ma,ITI3,PA,con,H,85,1.3435294117647059,0.38,1.1699901960784316,99.44916666666668
IT,Pi,ITC1,PA,con,H,75,7.862666666666668,0.45,8.108375,608.1281250000001
IT,Tn,ITH2,PA,con,H,75,6.788,0.44,6.844566666666666,513.3425
IT,To,ITI1,PA,con,H,75,7.358666666666666,0.44,7.419988888888888,556.4991666666666
IT,Va,ITC2,PA,con,H,75,6.698666666666666,0.44,6.754488888888888,506.5866666666666
IT,Ve,ITH3,PA,con,H,75,6.558666666666666,0.44,6.613322222222221,495.9991666666666
IT,Ab,ITF1,PM,con,H,55,1.6654545454545453,0.57,2.1754999999999995,119.65249999999997
IT,Ba,ITF5,PM,con,H,65,1.5169230769230768,0.57,1.981480769230769,128.79625
IT,Cal,ITF6,PM,con,H,55,6.949090909090909,0.49,7.803249999999999,429.17875
IT,Cam,ITF3,PM,con,H,55,3.4490909090909088,0.53,4.189208333333333,230.40645833333332
IT,ER,ITH5,PM,con,H,55,2.4890909090909092,0.54,3.0802500000000004,169.41375000000002
